,tconst,ordering,nconst,category,job,characters
530441,tt0063341,3,nm0699063,actress,\N,"[""Sally Inwood""]"
530442,tt0063341,4,nm0798328,actor,\N,"[""Frank Boley""]"
530491,tt0063348,1,nm0001673,actor,\N,"[""Raymond Paine""]"
530492,tt0063348,2,nm0001180,actress,\N,"[""Rachel Schpitendavel""]"
530493,tt0063348,3,nm0936295,actor,\N,"[""Chick Williams""]"
530494,tt0063348,4,nm0875861,actor,\N,"[""Trim Houlihan""]"
530735,tt0063374,1,nm0000493,actor,\N,"[""Felix Ungar""]"
530736,tt0063374,2,nm0000527,actor,\N,"[""Oscar Madison""]"
530737,tt0063374,3,nm0275835,actor,\N,"[""Vinnie""]"
530738,tt0063374,4,nm0248983,actor,\N,"[""Murray""]"
530755,tt0063376,1,nm0001626,actor,\N,"[""Oedipus""]"
530756,tt0063376,2,nm0658339,actress,\N,"[""Jocasta""]"
530757,tt0063376,3,nm0426062,actor,\N,"[""Creon""]"
530758,tt0063376,4,nm0000080,actor,\N,"[""Tiresias""]"
530963,tt0063401,1,nm0330015,actor,\N,"[""Paul""]"
530964,tt0063401,2,nm0000685,actor,\N,"[""Russ""]"
530965,tt0063401,3,nm0249572,actress,\N,"[""Christine""]"
530966,tt0063401,4,nm0179151,actress,\N,"[""Barbara""]"
531094,tt0063415,1,nm0000634,actor,\N,"[""Hrundi V. Bakshi""]"
531095,tt0063415,2,nm0519296,actress,\N,"[""Michele Monet""]"
531096,tt0063415,3,nm0096859,actress,\N,"[""Ballerina""]"
531097,tt0063415,4,nm0141255,actress,\N,"[""Nanny""]"
531196,tt0063426,1,nm0001046,actress,\N,"[""Petulia Danner""]"
531197,tt0063426,2,nm0001715,actor,\N,"[""Dr. Archie Bollen""]"
531198,tt0063426,3,nm0000328,actor,\N,"[""David Danner""]"
531199,tt0063426,4,nm0384050,actor,\N,"[""Barney""]"
531313,tt0063442,1,nm0000032,actor,\N,"[""George Taylor""]"
531314,tt0063442,2,nm0001522,actor,\N,"[""Cornelius""]"
531315,tt0063442,3,nm0001375,actress,\N,"[""Zira""]"
531316,tt0063442,4,nm0263052,actor,\N,"[""Dr. Zaius""]"
531323,tt0063443,1,nm0000323,actor,\N,"[""Capt. Douglas""]"
531324,tt0063443,2,nm0202638,actor,\N,"[""Capt. Cyril Leech""]"
531325,tt0063443,3,nm0338210,actor,\N,"[""Col. Masters""]"
531326,tt0063443,4,nm0028674,actor,\N,"[""Brig. Blore""]"
531560,tt0063469,1,nm0001782,actress,\N,"[""Jenny Davis""]"
531561,tt0063469,2,nm0001777,actor,\N,"[""Dave""]"
531562,tt0063469,3,nm0000197,actor,\N,"[""Stoney""]"
531563,tt0063469,4,nm0001136,actor,\N,"[""Steve Davis""]"
531687,tt0063483,1,nm0940946,actress,\N,"[""Rachel Cameron""]"
531688,tt0063483,2,nm0647921,actor,\N,"[""Nick Kazlik""]"
531689,tt0063483,3,nm0364299,actress,\N,"[""Mrs. Cameron""]"
531690,tt0063483,4,nm0663820,actress,\N,"[""Calla Mackie""]"
531955,tt0063514,1,nm0000009,actor,\N,"[""Narrator""]"
532307,tt0063556,1,nm0000064,actor,\N,"[""Sir George McDowell""]"
532308,tt0063556,2,nm0148041,actor,\N,"[""Bayon"",""Guinet""]"
532309,tt0063556,3,nm0117863,actress,\N,"[""Monique Brissard""]"
532310,tt0063556,4,nm0856103,actor,\N,"[""Jerome - il direttore Dorgeant""]"
532317,tt0063557,1,nm0000044,actor,\N,"[""Joe Bass""]"
532318,tt0063557,2,nm0001859,actress,\N,"[""Kate""]"
532319,tt0063557,3,nm0001699,actor,\N,"[""Jim Howie""]"
532320,tt0063557,4,nm0001115,actor,\N,"[""Joseph Lee""]"
532453,tt0063571,1,nm0000072,actress,\N,"[""Leonora""]"
532454,tt0063571,2,nm0000053,actor,\N,"[""Albert""]"
532455,tt0063571,3,nm0001201,actress,\N,"[""Cenci""]"
532456,tt0063571,4,nm0001919,actress,\N,"[""Hannah""]"
532471,tt0063573,1,nm0000056,actor,\N,"[""Harry Frigg""]"
532472,tt0063573,2,nm0466977,actress,\N,"[""Countess Francesca Di Montefiore""]"
532473,tt0063573,3,nm0240887,actor,\N,"[""General Armstrong""]"
532474,tt0063573,4,nm0098014,actor,\N,"[""General Pennypacker""]"
532626,tt0063589,1,nm0833373,actor,\N,"[""Maj. Shepherd McCloud""]"
532627,tt0063589,2,nm0178114,actor,\N,"[""Lt. Col. Andy Davis""]"
532628,tt0063589,3,nm0001234,actor,\N,"[""Gen. Wendell Bruce""]"
532629,tt0063589,4,nm0000432,actor,\N,"[""Rev. Thomas Davis""]"
532656,tt0063592,1,nm0000125,actor,\N,"[""Shalako""]"
532657,tt0063592,2,nm0000003,actress,\N,"[""Irina Lazaar""]"
532658,tt0063592,3,nm0000963,actor,\N,"[""Bosky Fulton""]"
532659,tt0063592,4,nm0370144,actor,\N,"[""Sir Charles Daggett""]"
532725,tt0063599,1,nm0000063,actor,\N,"[""Archbishop Kiril Pavlovich Lakota""]"
532726,tt0063599,2,nm0000059,actor,\N,"[""Premier Piotr Ilyich Kamenev""]"
532727,tt0063599,3,nm0921459,actor,\N,"[""Fr. David Telemond""]"
532728,tt0063599,4,nm0418148,actor,\N,"[""George Faber""]"
533218,tt0063654,1,nm0623658,actress,\N,"[""Nettie Cleary""]"
533219,tt0063654,2,nm0016776,actor,\N,"[""John Cleary""]"
533220,tt0063654,3,nm0000640,actor,\N,"[""Timmy Cleary""]"
533221,tt0063654,4,nm0768321,actor,\N,"[""The Master of Ceremonies""]"
533306,tt0063663,1,nm0000044,actor,\N,"[""Ned Merrill""]"
533307,tt0063663,2,nm0484716,actress,\N,"[""Julie Hooper""]"
533308,tt0063663,3,nm0750023,actress,\N,"[""Shirley Abbott""]"
533309,tt0063663,4,nm1060280,actor,\N,"[""Donald Westerhazy""]"
533451,tt0063679,1,nm0587401,actor,\N,"[""Jesus Maria Moran"",""Tepepa""]"
533452,tt0063679,2,nm0000080,actor,\N,"[""Colonel Cascorro""]"
533453,tt0063679,3,nm0825952,actor,\N,"[""Doctor Henry Price""]"
533454,tt0063679,4,nm0868692,actor,\N,"[""Pedro Pereira"",""El Piojo""]"
533470,tt0063682,1,nm0000493,actor,\N,\N
533512,tt0063688,1,nm0000537,actor,\N,"[""Thomas Crown""]"
533513,tt0063688,2,nm0001159,actress,\N,"[""Vicki Anderson""]"
533514,tt0063688,3,nm0121826,actor,\N,"[""Eddy Malone""]"
533515,tt0063688,4,nm0922967,actor,\N,"[""Erwin""]"
534226,tt0063775,1,nm0000989,actor,\N,"[""Pancho Villa""]"
534227,tt0063775,2,nm0000053,actor,\N,"[""Lee Arnold""]"
534228,tt0063775,3,nm0117863,actress,\N,"[""Fina""]"
534229,tt0063775,4,nm0000314,actor,\N,"[""Rodolfo Fierro""]"
534553,tt0063811,1,nm0000032,actor,\N,"[""Will Penny""]"
534554,tt0063811,2,nm0352466,actress,\N,"[""Catherine Allen""]"
534555,tt0063811,3,nm0000587,actor,\N,"[""Preacher Quint""]"
534556,tt0063811,4,nm0000516,actor,\N,"[""Blue""]"
534705,tt0063829,1,nm0000840,actress,\N,"[""Helen North Beardsley""]"
534706,tt0063829,2,nm0000020,actor,\N,"[""Chief Warrant Officer Francis Louis 'Frank' Beardsley""]"
534707,tt0063829,3,nm0004496,actor,\N,"[""Warrant Officer Darrel Harrison""]"
534708,tt0063829,4,nm0873899,actress,\N,"[""Madeleine Love""]"
535263,tt0063894,10,nm0618873,self,\N,"[""Self - Guest"",""Self"",""Self - Consumer Advocate""]"
535264,tt0063894,1,nm0147118,self,\N,"[""Self - Host"",""Self""]"
535265,tt0063894,2,nm0742598,self,\N,"[""Self - Bandleader"",""Self - Musical Director"",""Self - Band Leader""]"
535266,tt0063894,3,nm0289388,self,\N,"[""Self - Announcer"",""Announcer"",""imself - Announcer""]"
535267,tt0063894,4,nm0756340,self,\N,"[""Self - Guest"",""Self""]"
535268,tt0063894,5,nm0001986,self,\N,"[""Self"",""Self - Guest""]"
535269,tt0063894,6,nm0000095,self,\N,"[""Self - Guest"",""Alvy Singer""]"
535270,tt0063894,7,nm0000738,self,\N,"[""Self"",""Self - Guest"",""Self - Pro Boxer""]"
535271,tt0063894,8,nm0798116,self,\N,"[""Self - Guest"",""Self""]"
535272,tt0063894,9,nm0000050,self,\N,"[""Self - Guest"",""Self"",""Self - Comedian""]"
536082,tt0063985,1,nm0642675,actor,\N,"[""Mr. Zero""]"
536083,tt0063985,2,nm0226887,actress,\N,"[""Mrs. Zero""]"
536084,tt0063985,3,nm0925794,actress,\N,"[""Daisy Devore""]"
536085,tt0063985,4,nm0152261,actor,\N,"[""Lieutenant Charles""]"
536496,tt0064030,1,nm0000009,actor,\N,"[""King Henry VIII""]"
536497,tt0064030,2,nm0000991,actress,\N,"[""Anne Boleyn""]"
536498,tt0064030,3,nm0660327,actress,\N,"[""Queen Catherine of Aragon""]"
536499,tt0064030,4,nm0703033,actor,\N,"[""Cardinal Wolsey""]"
536544,tt0064036,1,nm0000493,actor,\N,"[""Howard Brubaker""]"
536545,tt0064036,2,nm0000366,actress,\N,"[""Catherine Gunther""]"
536546,tt0064036,3,nm0492444,actor,\N,"[""Ted Gunther""]"
536547,tt0064036,4,nm0922967,actor,\N,"[""Potter Shrader""]"
536554,tt0064037,1,nm0000034,actor,\N,"[""Laurent Ségur""]"
536555,tt0064037,2,nm0514059,actress,\N,"[""Catherine Graziani""]"
536556,tt0064037,3,nm0100186,actor,\N,"[""Verdun""]"
536557,tt0064037,4,nm0198823,actress,\N,"[""Marinette""]"
536583,tt0064041,1,nm0000018,actor,\N,"[""Eddie Anderson""]"
536584,tt0064041,2,nm0001159,actress,\N,"[""Gwen""]"
536585,tt0064041,3,nm0000039,actress,\N,"[""Florence Anderson""]"
536586,tt0064041,4,nm0095524,actor,\N,"[""Sam Arness""]"
536843,tt0064072,1,nm0000323,actor,\N,"[""Squadron Leader Canfield""]"
536844,tt0064072,2,nm0002145,actor,\N,"[""Air Vice Marshal Keith Park""]"
536845,tt0064072,3,nm0028674,actor,\N,"[""Senior Civil Servant""]"
536846,tt0064072,4,nm0432007,actor,\N,"[""Baron von Richter""]"
537232,tt0064115,1,nm0000056,actor,\N,"[""Butch Cassidy""]"
537233,tt0064115,2,nm0000602,actor,\N,"[""The Sundance Kid""]"
537234,tt0064115,3,nm0001684,actress,\N,"[""Etta Place""]"
537235,tt0064115,4,nm0001510,actor,\N,"[""Percy Garris""]"
537242,tt0064116,1,nm0000020,actor,\N,"[""Frank""]"
537243,tt0064116,2,nm0000314,actor,\N,"[""Harmonica""]"
537244,tt0064116,3,nm0001012,actress,\N,"[""Jill McBain""]"
537245,tt0064116,4,nm0001673,actor,\N,"[""Manuel 'Cheyenne' Gutiérrez""]"
537442,tt0064137,1,nm0000044,actor,\N,"[""Maj. Abraham Falconer""]"
537443,tt0064137,2,nm0641929,actor,\N,"[""Capt. Lionel Beckman""]"
537444,tt0064137,3,nm0001922,actor,\N,"[""Henri Tixier, Count of Maldorais""]"
537445,tt0064137,4,nm0000393,actor,\N,"[""Sgt. Rossi""]"
